Name,State,Term,NoEmp,NewExist,CreateJob,RetainedJob,UrbanRural,GrAppv,SBA_Appv
"Love All Serve All, LLC",WA,84,1,2,2,1,1,130000,110500
"BEATTIE & AGHAZARIAN, LLP",CA,84,6,2,2,6,1,50000,25000
"AVAC of Florida, LLC",FL,12,5,1,1,5,1,750000,675000
Amaranth Distribution LLC,OH,72,1,1,0,1,1,10000,5000
"Atlantic Carpet Cleaning OBX,",NC,60,3,1,0,3,1,90000,45000
Alexander Cartio dba Winterfal,CA,74,1,1,10,0,1,10000,5000
Adaptive Companion Care Servic,IN,84,23,2,10,23,1,50000,42500
Helmling Trucking LLC,OH,60,10,1,1,10,1,75600,37800
Pacific Beach Veterinary Clini,CA,84,12,1,0,0,1,35000,17500
"Vivid Leds, Inc.",OH,84,2,2,0,0,1,50000,25000
"Hanny, LLC",KS,60,8,1,0,8,1,51200,43520
"724 Office, LLC",PA,84,4,2,2,0,1,25000,12500
GPG Enterprises Inc,FL,84,17,1,0,17,1,263000,131500
Cold Case Beverage LLC,PA,180,1,2,0,1,1,300000,150000
"SHAYNE SAUCE FOODS, LLC",TX,60,1,1,1,1,1,50000,25000
Rupe Poultry Farm,AR,24,2,1,0,2,2,10400,5200
"Builtware Fabrication, Inc.",CA,84,8,1,0,2,1,20000,10000
"International Watch Group, Inc",MI,73,8,1,2,0,1,85900,42950
"Edge Composites, LLC",UT,84,16,1,3,19,1,175000,87500
WM AGENCIES LLC,TX,86,2,2,10,2,1,10000,8500
Chadds Ford Automotive Service,PA,84,3,2,0,3,1,25000,12500
"Spectrum Energy Development, I",CA,12,5,1,0,0,1,100000,50000
Riverwave LLC,CT,84,2,2,0,0,2,175000,131250
"TECHNOLOGY TRAINING SYSTEMS, I",IL,84,267,1,0,0,1,350000,175000
South Shore Restaurant Group I,NY,240,500,1,0,0,1,566000,566000
Corona Industries Corp.,NY,84,6,1,0,0,1,50000,25000
"Alma Chocolate, LLC",OR,84,5,1,3,5,1,106050,53025
"Dr. Eric E. Neader, Inc.",OH,84,7,1,1,7,1,100000,50000
Deb's Cleaning Service,MA,84,1,1,0,1,1,10000,5000
"Research Data Group, Inc.",CA,84,35,1,0,35,1,513500,385125
Debonis LLc,NY,72,1,1,0,1,1,10000,5000
"Doan's Seafood Grill, Co.",TX,84,15,1,2,4,1,30300,15150
PARSEN GLOBAL RESOURCES LLC,TX,84,15,1,0,15,1,50000,25000
"Precision Electric Group, Inc.",WA,240,50,1,12,0,1,517000,517000
"STS Marketing Services, LLC",MI,12,10,1,0,0,1,145000,72500
Sean M. Powers,ID,240,10,1,10,10,2,208600,156450
Crepes. LLC,MS,120,1,2,7,7,1,100000,85000
Flying Pan Bistro & Catering L,IA,120,1,2,9,1,2,80000,68000
K & N World Produce Corp.,NY,120,6,1,1,6,1,150000,127500
Advanced Caulking & Restoratio,OH,72,3,2,10,10,1,10000,5000
EVERLASTING SPECIALTIES INC,KS,6,6,1,0,0,1,20000,10000
Fitness Professionals 360 of C,IA,60,6,1,0,6,1,25000,12500
"JBW Welding, L.L.C.",UT,60,1,2,0,1,1,10000,5000
"Wax Dat, LLC dba European Wax",FL,120,2,2,13,0,1,392000,294000
"Jensen Brothers Auto, Inc.",CA,60,2,1,0,2,1,140000,119000
Zarbaugh Studio LLC,OH,60,0,1,0,0,1,5000,2500
"MR. Pharmacy, LLC",IA,180,10,1,0,10,1,117000,87750
"Kenneth H. Park, DMD PC dba Wa",VA,72,3,1,0,0,1,520000,390000
Tri-State Directional Drilling,WI,60,2,2,0,2,1,29000,21750
Tri-State Directional Drilling,WI,13,2,2,0,2,1,30000,15000
"Cacy Electric, a California Co",CA,120,26,1,10,36,1,50000,42500
"High Tech Striping, Inc.",FL,60,40,1,0,40,1,65900,32950
West Side Drain,OR,84,2,1,1,2,1,25000,12500
"Paperback Readers, Inc.",NC,4,12,1,2,2,1,150000,75000
Ian Magid Group Inc.,NY,65,2,1,2,2,1,20000,10000
"Vision Staffing, LLC",MO,12,0,2,0,0,1,25000,12500
Renewed Restorations Inc,IL,84,1,2,2,3,1,35000,17500
"JIW Enterprises, Inc.",IL,120,8,2,2,10,1,33000,16500
3 COMMAS TUTORING LLC,TX,84,4,1,0,4,1,350000,175000
Alex Kril dba Alex Kril Trucki,OH,60,0,1,0,0,1,30500,15250
Vijeta Corporation,MA,60,3,1,0,3,1,50000,25000
Law Offices of Mark L Hardy,CA,84,1,2,0,0,1,100000,85000
"THOMAS CAIN, INC.",NE,84,5,1,1,5,1,146000,124100
KBIC LLC,IN,60,4,1,0,0,1,50000,25000
"MOBILE CARPET CLUB, INC.",CA,84,55,1,0,55,1,350000,175000
BEASON POULTRY FARM,MS,24,2,1,0,2,2,20900,17765
"The Lady Bug Greenhouse, Cafe,",IA,6,1,2,2,0,2,20000,10000
Aura M. Torres,CA,300,6,1,1,6,1,124700,105995
Multitasking Inc.,NY,72,4,1,0,4,1,20000,10000
Michael Bishop Insurance Inc,MS,12,7,1,0,7,2,15500,13175
Across Time and Page LLC,KS,107,4,2,2,4,1,50000,42500
"Copper Magnolia, Inc.",FL,84,2,2,0,2,1,25000,12500
Kristy Lemmon,TX,12,3,1,0,3,1,10000,5000
Jumbo Logistics LLC,OH,13,3,1,0,0,1,64000,32000
Posh Consulting Inc,WA,84,27,1,15,10,1,200000,100000
Dennis E. Philpot,AR,12,2,1,0,2,1,10300,5150
STONE CREEK LAND DESIGN & DEVE,WA,120,6,1,2,0,1,125000,106250
"Indian Lake Motors, LLC",OH,12,5,1,1,0,1,60000,30000
Nebraska Electrical Services L,NE,84,15,2,6,15,1,15000,12750
WILLOW DRUG INC,WV,84,6,2,4,10,2,40000,20000
Boston Pro Draft,MA,18,0,2,1,1,2,3000,2550
"Leading Agile, LLC",GA,84,8,1,6,8,1,50000,25000
Garcia Brothers Seafood Inc.,FL,12,11,1,0,10,1,100000,50000
"Custom Healthcare, LLC dba PPS",TN,60,0,1,0,0,1,1000000,750000
"PACIFIC CONSTRUCTION SYSTEMS,",WA,120,150,1,0,150,2,1500000,1125000
"The Spicey Olive, LLC",OH,120,3,2,0,0,1,100000,85000
"BENJAMIN & YOUNG, LLP",CA,120,4,1,2,2,1,374500,280875
Nordstrom Contracting and Cons,NY,4,7,1,0,7,1,350000,262500
Assure Quality Painting LLC,MN,12,3,2,6,3,1,200000,100000
Universal Pizza Inc,MS,60,35,1,23,0,1,180000,90000
Odom Poultry Farm,AR,12,2,1,0,2,2,26000,13000
"Jeddy Holdings, LLC",NY,84,5,1,2,5,1,100000,50000
"Focused Enterprises, LLC",VA,84,6,2,0,6,1,230000,172500
Nicole Russell dba Nicole's Br,PA,184,6,1,2,0,1,85500,42750
"Farrar Scientific, L.L.C.",OH,84,10,1,4,0,1,300000,150000
"Corps Investors, LLC",LA,300,3,1,1,4,1,530000,397500
EMERALD WATERS MEDICAL CLINIC,FL,96,4,2,5,4,2,12500,10625
"Central Insurors, LLC",TN,108,1,2,0,1,1,144800,123080
PROTOFLEX CORPORATION,CO,14,5,1,2,5,1,1300000,1170000
David Darling Logging,NY,48,4,1,0,4,1,23000,11500
"SW of Ridgewood, LLC",NJ,126,2,2,5,2,1,430000,322500
"D.C. Super Cleaners, Inc.",TX,84,6,1,4,10,1,50500,25250
ABR Trading Corp.,FL,84,3,1,0,3,1,350000,175000
ENLOW TRACTORS INC,OK,120,29,1,4,7,2,150000,75000
"INKLEY'S IMAGING DEPOT, L.L.C.",UT,120,2,2,0,2,1,350000,262500
"Sampad, LLC",IN,96,2,2,7,0,1,142000,71000
NeoCell Corporation,CA,240,40,1,12,15,1,1669000,1669000
"DB Kennewick, LLC",WA,120,15,1,8,0,1,187500,140625
Flavor Cupcakery LLC,MD,60,30,1,0,30,1,35000,17500
"Horizon Facilities Services, L",VA,84,250,1,0,0,1,350000,175000
"The Lucky Law Firm, PLC",LA,84,3,1,3,6,1,50000,42500
"M&M Insurance Services, Inc.",IL,60,4,1,1,4,1,11000,5500
"Abbott Machine Company, Inc.",IL,12,25,1,0,25,1,800000,720000
"Spring Mountain Adventures, In",PA,3,20,1,0,20,1,50000,42500
Rouse Farms,NC,36,1,1,0,1,2,13400,6700
Telco Connection,CA,120,1,2,0,1,1,150000,127500
"Yee-Ha Yogurt, Inc.",CA,84,0,2,20,0,1,250000,125000
"ANH Merchant, LLC",NH,12,119,1,0,119,1,2000000,1500000
"JS Smooth Enterprises, Inc.",TX,120,15,2,15,0,1,153100,76550
SCORCH AGENCY LLC,MO,60,5,1,3,1,1,20000,10000
Action Concrete Pumping Inc.,SC,120,25,1,5,25,1,500000,375000
"Art & Sign F/X, Inc.",VA,4,18,1,0,18,1,20000,10000
"Avani Technology Solutions, In",NY,24,25,1,5,25,1,1000000,750000
ALOHA BEVERAGE PRODUCTS LLC,HI,84,0,1,1,1,1,40000,20000
Shazia Corp.,MD,84,3,1,0,3,1,25000,12500
BERKELEY GENERAL CONTRACTORS L,NC,75,2,1,0,2,2,25000,12500
"Venditti, Andrew DBA Syracuse",NY,87,5,1,2,5,1,99500,49750
ZMC Medical Group P.A.,FL,107,2,2,2,0,1,148600,126310
"SHERGILL TRANSIT LINES, LLC.",OH,60,0,1,0,0,1,12500,6250
Concept Communications Corpora,WA,96,5,1,0,0,2,182000,136500
S&R King Mechanical Contractor,NY,12,8,1,26,8,1,500000,375000
"Wolfe Hendrickson, LLC",IN,24,6,1,0,6,1,50000,25000
Evolution Car Services LLC,DE,84,1,2,0,1,1,25000,12500
I am champion Inc.,VA,84,0,2,7,7,2,75000,63750
Carmens Tax Service,OR,84,3,1,6,3,1,60600,30300
Killgore Adventures LLC,ID,72,3,1,0,0,1,45000,22500
"11 W 32, Inc.",NY,120,5,2,0,5,1,200000,150000
"Competitive Edge Excavating, L",MI,84,1,2,0,1,1,25000,12500
"Alapko, Incorporated",MD,84,15,1,9,15,1,100000,85000
"Sky Trade-In, Inc",FL,84,1,1,0,0,1,25000,12500
Weightloss Texas Inc,TX,96,2,1,0,2,1,115000,57500
Strategic Asian Imports LLC,WA,84,2,2,0,0,1,75800,37900
Kalachi Enterprises Incorporat,CA,300,0,2,2,2,1,931400,698550
Creekside Ice Cream LLC,OH,72,10,1,0,10,1,10000,5000
N&A Farm,GA,120,2,1,0,2,2,55000,27500
Red Dog Investments Inc,MN,120,15,1,5,15,1,242000,181500
Crossties Plus LLC,NC,12,9,2,0,9,2,150000,75000
S.T.I.C. LLC,TX,303,15,1,0,0,1,1710000,1282500
"LASER TECH, INC.",TX,6,21,1,0,21,1,193000,96500
Boca Bistro LLC,NY,36,6,1,0,6,1,200000,150000
"Frye Investment Company, LLC",MI,120,4,1,4,4,2,53200,39900
"Elliott's Motorsports, Inc.",NY,120,2,2,0,2,1,135000,114750
Stacy Becker DDS LLC,MO,120,8,1,7,0,1,630000,472500
American Dry Cleaners and Furr,NY,120,16,1,0,16,1,120000,102000
"J O J, Inc.",WA,300,7,1,6,7,2,1217000,912750
Reed Chiropractic and Rehabili,MO,120,1,2,0,0,1,30000,25500
Thome Waterproofing Co Inc,CA,84,16,1,0,0,1,10000,5000
"G.M. Voices, Inc.",GA,84,30,1,0,0,1,125000,93750
EXCELLENTIA FLAVOURS LLC,NJ,12,12,1,3,12,2,3000000,2250000
"Tabis Group, Inc.",MD,84,3,1,0,3,1,55000,27500
"Doug Dysert Poured Walls, LLC",MI,84,16,1,5,16,1,50000,25000
"EDSYN, Inc.",CA,120,22,1,1,22,2,258600,193950
"Walden Mal Management, LLC",NY,35,4,2,4,4,1,15000,7500
EWINGS ASSOCIATES INC,MN,12,5,1,0,5,1,200000,100000
"Military Boys Bakery, LLC",FL,120,5,1,4,0,1,250000,187500
Jun Japanese Restaurant,CO,72,30,1,0,30,1,35000,17500
Matrix Home Health Care LLC,MI,84,6,1,0,6,1,50000,25000
Graeme W Lamb,NH,36,2,1,0,2,1,20000,10000
"Krazy Kids, LLC",NH,300,13,2,17,13,2,565000,423750
Graeme W Lamb,NH,36,2,1,0,2,1,16000,8000
"Gate 3 Design, Inc.",MA,36,8,1,0,8,1,150000,75000
"Michael W. Jorgenson, DDS, MS,",MN,84,2,2,1,2,1,75000,37500
"CDL ELECTRIC COMPANY, INC",KS,60,234,1,0,45,1,350000,175000
"Full Circle Health Care, LLC",ME,30,16,1,0,16,2,25800,21930
"GERMAN AUTOWERKS ATLANTA, LLC",GA,84,1,2,0,0,1,10000,5000
"Seven C?s Linen Service, Inc.",FL,84,34,1,4,8,1,100000,50000
Overseas Merchandising Corp.,IL,12,4,1,0,4,1,900000,810000
"Juan Vargas, Inc.",LA,80,6,1,4,6,1,25000,21250
"Seven C?s Linen Service, Inc.",FL,48,34,1,4,8,1,175000,87500
"Living Care Home Services, LLC",PA,8,3,1,0,3,1,25000,21250
"RDL ENGINEERING, LLC",AZ,84,1,2,0,0,1,10000,5000
Drill Pro Services Inc,ND,72,2,2,4,2,2,759600,569700
Represent Your Water L.L.P.,CO,84,2,2,0,0,1,28000,14000
Nine-Ten Builders LLC,NY,60,5,1,0,5,1,35000,17500
Columbus Therapy Associates LL,OH,36,3,1,5,3,1,5900,2950
"Stokes Marine, Inc.",FL,84,27,1,0,27,1,50000,25000
"Fu Restaurant, Inc.",MA,60,10,1,0,10,1,75000,37500
Artisan Electric Inc.,WA,12,5,1,2,7,1,150000,75000
"L X D DESIGN CONSULTANCY, LLC",NY,84,3,2,1,0,1,35000,17500
"Murguia Construction, Inc.",CA,300,15,1,15,15,1,150000,91500
Ruiz Poultry,AR,24,2,1,0,2,2,30000,15000
Hembree Pointe Professional Gr,GA,96,17,1,0,17,1,1085000,813750
"Creations Gift Boutique, LLC",MS,60,0,2,1,1,1,55100,46835
TRINITY EXCAVATING AND CONSTRU,KS,12,15,1,0,10,1,100000,50000
"Shop Floor Automations, Inc.",CA,84,11,1,1,0,1,50000,25000
"King's Wood, LLC",CT,84,5,2,2,5,1,100000,50000
Chang & Kim Corporation,CA,84,13,1,0,13,1,50000,25000
PHD Aquatics LLC,FL,69,5,2,2,7,1,25000,12500
"Extra Logistics, LLC",MI,72,2,1,0,2,1,10000,5000
Fresh Start Convenience Stores,SD,300,21,1,0,21,1,1750000,1312500
PRIXEL CREATIVE LLC,MO,36,0,2,2,0,1,10000,5000
Viewpoint Government Solutions,MA,84,6,1,2,0,1,50000,25000
Viewpoint Government Solutions,MA,60,6,1,2,0,1,50000,25000
"SILVER STATE HAY, INC.",NV,186,4,1,0,4,1,51400,43690
"WESTEX, INC.",MD,12,14,1,0,14,1,1500000,1350000
RPM Powder Coating LLC,OH,84,2,2,0,0,1,10000,5000
David McGowen Design LLC,MI,84,4,1,2,0,1,10000,5000
"E & R Enterprises, PLLC",KY,84,5,2,2,5,1,40000,20000
"South Shore Controls, Inc.",OH,84,31,1,0,31,1,450000,337500
"Capogiro, LLC",PA,12,44,1,0,44,1,125000,106250
"QED Energy Training, LLC",TX,84,15,1,0,0,1,90000,45000
"Montana International, LLC",NY,60,19,1,4,23,1,30000,15000
"Montana International, LLC",NY,84,19,1,4,23,1,25000,12500
Workforce Business Services In,FL,84,80,1,6,80,1,2500000,1875000
Ross Products Group LLC,MN,84,1,2,0,0,1,10000,5000
Thometz & Uhland P.C.,IL,84,10,1,4,10,1,260000,130000
Morrison Taylor LLC,TX,84,2,2,4,0,1,25000,12500
"Wine D' Vine, LLC",FL,120,0,2,17,0,1,314400,235800
"Fox Underground, Inc.",ND,6,0,2,9,0,1,280700,140350
Fast Ex Trucking,CA,60,1,1,1,1,1,60000,30000
Kidwind Project Incorporated,MN,84,14,1,1,15,1,150000,127500
"AKJ Industries, Inc.",FL,45,85,1,5,85,1,1200000,900000
"Summit Sportswear, Inc.",OR,25,110,1,10,10,1,100000,50000
"Blue Water Financial Group, LL",MI,240,2,1,10,2,2,227000,227000
Sansom Willis LaFoe LLP,CA,84,3,1,0,0,1,12000,6000
"Fastlane Quick Oil Change, Inc",MI,60,8,2,0,0,1,56000,28000
"Granite Pro, Inc.",MI,86,6,1,3,6,1,285000,213750
Roller City Incorporated,IN,90,0,2,5,0,1,155500,77750
"Second Avenue Software, Inc.",NY,60,12,1,0,12,1,25000,12500
"Second Avenue Software, Inc.",NY,60,12,1,0,12,1,50000,25000
Cameron's Gulf Service,MA,60,2,1,0,2,1,25000,12500
"Havron Endodontics, PC",AL,120,1,2,2,2,1,340000,255000
Thometz & Uhland P.C.,IL,84,10,1,4,10,1,50000,25000
Holdiness Poultry Farm,MS,60,3,1,0,3,1,31000,26350
"AAA Silt Fencing, Inc.",IL,84,13,1,0,13,1,100000,50000
CHR CONSTRUCTION LLC,OH,84,10,1,0,0,1,10000,5000
Black Rock Beverage Services L,CO,84,2,2,0,0,1,25300,12650
"Dumpsters in a Rush, LLC",OK,48,1,2,0,1,1,16000,13600
"Oilfield CNC Machining, LLC",LA,120,7,1,3,7,1,207000,155250
Don's Pest Control Inc,IA,8,14,1,0,14,2,10000,5000
Rhino Billing LLC,AZ,84,2,2,6,6,1,25000,12500
Worthen Design,UT,300,2,1,3,2,1,293300,219975
COVE GOLD BUYER LLC,TX,96,2,2,0,2,1,15000,12750
ACE CLEANING INC,KS,48,3,2,0,0,1,51500,25750
North American Training & Logi,NH,84,5,1,1,6,1,464000,232000
INTERLATIN INC,TX,24,89,1,1,90,1,800000,600000
"Modern Parking, Inc.",CA,84,150,1,0,150,1,1232200,924150
"MTS CUSTOM COATING, INC",KS,48,3,1,0,3,2,7500,3750
Tri-Point Construction Layout,NY,84,11,1,0,5,1,120000,60000
Entity To Be Formed - Sharjac,NY,180,4,2,0,0,1,110000,55000
"Root9b, LLC",CO,84,1,2,7,8,1,150000,112500
"Root9b, LLC",CO,87,1,2,7,8,1,142200,106650
"Cappuccino Catering, Inc.",IL,84,7,1,0,0,1,40000,20000
Pintoos LLC,CT,84,2,1,0,0,1,25000,12500
JMS Design & Remodeling Inc.,CA,84,2,1,0,0,1,11400,5700
"Bohr Engineering, Inc.",WI,120,3,1,0,3,2,100000,75000
"Kink, Inc.",NY,12,10,1,0,0,1,250000,187500
Real Estate Media Lab LLC,MA,84,3,2,3,3,1,50000,25000
Steinbeck Country Equine Clini,CA,84,26,1,0,26,2,100000,50000
"Easter Law Firm, LLC",MO,84,3,1,2,3,1,50000,25000
Barkley Logistics Inc.,MA,71,2,1,0,2,1,75000,37500
"THOMAS CAIN, INC.",NE,84,5,1,1,5,1,75000,37500
Preferred Companies of SE Iowa,IA,36,2,2,0,0,2,12700,6350
"Cobalt Boats of Atlanta, LLC",GA,120,95,1,5,95,1,1000000,750000
"Real Estate Title and Escrow,",MD,88,50,1,0,50,1,200000,150000
Paul D & Tammy D. McConnell,TN,60,2,2,0,2,2,18500,9250
"JMS Dalton Enterprises, Inc.",NY,120,1,2,3,1,1,319200,239400
APPLE HOSPITALITY LLC,MI,120,6,1,0,6,1,129000,109650
"Atlantic Representations, Inc.",CA,12,50,1,1,50,1,2000000,1500000
T J Glass Art,OR,84,2,1,0,0,1,10000,5000
"Pie Squared, LLC",GA,128,0,2,25,0,1,217800,163350
"Showerstart, LLC",AZ,12,1,1,3,1,1,600000,450000
"Pixus, LLC",LA,84,20,1,0,20,1,279600,209700
SS TACTICAL LLC,GA,75,0,2,2,2,2,50000,42500
"Dollar USA Plus, Inc",FL,60,1,1,0,0,1,50000,25000
Hill Poultry Farm,AR,12,2,1,0,2,2,34000,17000
"Ftp Hospitality Services, LLC",NH,84,1,1,0,1,1,25000,12500
Strategic Hardware LLC,WA,120,7,1,3,7,1,220000,165000
Corval Group Inc.,MN,120,150,1,0,150,1,2475000,1856250
ASPEN PRINTING SERVICES LLC,IL,84,3,1,0,3,1,250000,125000
Pinnacle Solutions Of Louisian,LA,84,5,1,1,5,1,25000,12500
Jahan Medical Service P.C.,NY,84,1,2,2,0,1,75000,37500
"P & R Industries, Inc.",NY,12,47,1,0,47,1,1500000,1125000
"FXB Colorado, LLC",CO,84,8,1,8,0,1,100000,85000
"South Shore Controls, Inc.",OH,84,30,1,0,31,1,350000,175000
"Coventry Lumber, Inc.",RI,12,52,1,0,52,1,1500000,1125000
McIntosh Tutoring Group Of Cen,FL,84,4,2,2,0,1,20000,10000
Emery Electronics Incorporated,MI,84,50,1,0,50,1,350000,262500
TRI-COUNTY DRYWALL & INTERIORS,CA,4,16,1,8,24,1,562500,421875
"Hibachi Grill Supreme Buffet,",PA,84,12,2,36,12,1,85000,72250
"Standard Metals, Inc.",CT,120,12,1,0,12,1,1000000,500000
"Lemonade Restuarant Group, LLC",CA,120,75,1,25,75,1,500000,375000
ABC Learning Early Childhood C,IA,36,35,1,5,5,1,25000,12500
"RumRunners Entertainment, LLC",TX,60,0,2,40,0,1,50000,37500
"Titan Metal Fabricators, Inc",CA,12,81,1,0,81,1,3000000,2700000
"Midwest Ag Exports, Inc.",MN,12,5,1,0,5,2,2000000,1800000
"Redtag Business Products, LLC",TX,84,5,2,1,0,1,50000,25000
"Diversified Technologies, Inc.",CA,84,1,2,2,1,1,100000,85000
"Redtag Business Products, LLC",TX,84,5,2,1,0,1,21700,10850
"Flourish Boutique, LLC",IN,120,5,1,2,5,1,40000,20000
MANNING PEDIATRICS LLC,GA,84,6,1,0,6,2,29000,14500
"Stephens Automotive, Incorpora",IL,84,9,1,3,0,1,100000,50000
"Solaris Technologies, Inc.",TX,12,14,2,0,14,1,2500000,2250000
Premier Hospitalist Group Of C,CA,84,4,1,4,0,1,101100,50550
Premier Hospitalist Group Of C,CA,84,4,1,4,0,1,100000,50000
Customs Express Inc,MO,12,5,1,0,0,1,200000,100000
INSTRUMENTAL INSTRUCTION GROUP,FL,84,2,2,0,0,1,15000,7500
MENDEL AND COMPANY CONSTRUCTIO,CO,84,9,1,3,0,1,100000,50000
Waste Stream Solutions Califor,CA,16,11,1,5,11,1,250000,125000
"GILLETTE & ASSOCIATES, LLC",WI,84,10,1,10,10,1,40000,20000
"Van Row Mechanical, Inc.",OR,14,4,1,0,4,2,60000,51000
Avena Contracting LLC,MD,6,25,1,0,25,1,100000,75000
Protech Cable Inc.,NY,84,17,1,3,0,1,50000,25000
"AAA Building Components, Inc.",NE,12,39,1,39,39,1,1000000,750000
Verkey & Sons Trucking,NY,60,2,1,0,2,1,25000,12500
Windham Farms,MS,12,2,1,0,2,2,10000,8500
"Turbine Engine Support, LLC",AZ,84,4,1,0,4,1,250000,125000
Aviation Business Internationa,KS,24,7,2,1,2,1,100000,50000
Creative Invites and Events LL,OH,72,4,1,1,5,1,10000,5000
Hardly Running Associates LLC,OR,84,16,2,0,16,1,120000,102000
Jade USA LLC,IA,104,25,1,0,25,1,228400,114200
NE Frog Pond LLC,MA,24,15,1,50,50,1,350000,175000
Pamir Development Inc.,GA,300,2,1,1,2,1,765000,573750
"Trendex, Incorporated",MN,84,61,1,0,61,1,350000,175000
Marysia LLC,NY,84,1,1,0,1,1,50000,25000
Jumbo Restaurant of York Inc.,PA,240,3,1,0,3,1,185000,138750
"S & E Associates, Inc.",OH,60,0,1,0,0,1,50000,25000
The Malt Shop Cafe,TX,84,4,1,0,4,2,65000,55250
DUGACHAE INC.,NJ,60,2,2,0,2,1,75000,37500
Early Environmental Contractin,KY,60,10,2,0,0,1,200000,150000
A-LEGACY CONSTRUCTION INC,WA,84,3,1,0,0,1,15000,7500
LETTY'S ENTERPRISES INC,NV,84,9,1,9,9,1,20000,10000
THE REFINERY INC,MN,84,31,1,0,0,1,10000,5000
Essence Corp.,FL,12,67,1,5,67,1,3500000,3150000
Ge Sen Oh,CA,120,0,1,3,0,1,175000,131250
"Saturn Tech, LLC",MI,60,30,1,6,0,1,20100,10050
"EDGE INDUSTRIAL TOOL COMPANY,",IA,73,4,2,0,4,1,10000,5000
"Saturn Tech, LLC",MI,84,30,1,6,0,1,80000,40000
"Powder Processors, Inc.",UT,120,38,1,0,0,1,900000,675000
"Beyond The Olive, Inc.",CA,84,2,1,2,0,1,25000,12500
"Automated Solutions, Inc.",ID,87,20,1,0,20,1,332500,249375
"Love Code, Inc.",TX,84,1,2,1,1,1,25000,12500
Young's Timber Inc.,AK,72,10,1,2,12,1,50000,25000
